Rank,Release Group,Worldwide,Domestic,%,Foreign,%
312,Divorce French Style,"$9,798,848",-,-,"$9,798,848",100%
313,The Rise of a Tomboy,"$9,769,582",-,-,"$9,769,582",100%
314,Phantom Detective,"$9,754,195","$67,054",0.7%,"$9,687,141",99.3%
315,The Boy 2016 Re-release,"$9,741,025",-,-,"$9,741,025",100%
316,The Odyssey,"$9,722,918",-,-,"$9,722,918",100%
317,Dragon Ball: Mystical Adventure,"$9,714,846",-,-,"$9,714,846",100%
318,Popstar: Never Stop Never Stopping,"$9,680,029","$9,639,125",99.6%,"$40,904",0.4%
319,Department Q: A Conspiracy of Faith,"$9,651,271",-,-,"$9,651,271",100%
320,Paterson,"$9,588,282","$2,152,738",22.5%,"$7,435,544",77.5%
321,Osman Pazarlama,"$9,352,939",-,-,"$9,352,939",100%
322,Airlift,"$9,323,484",-,-,"$9,323,484",100%
323,Sadako vs. Kayako,"$9,256,114",-,-,"$9,256,114",100%
324,Planet Single,"$9,252,084",-,-,"$9,252,084",100%
325,It's Only the End of the World,"$9,231,823",-,-,"$9,231,823",100%
326,Vier gegen die Bank,"$9,193,243",-,-,"$9,193,243",100%
327,A Hologram for the King,"$9,169,507","$4,212,494",45.9%,"$4,957,013",54.1%
328,Miss Sloane,"$9,101,546","$3,500,605",38.5%,"$5,600,941",61.5%
329,Meet the Blacks,"$9,097,072","$9,097,072",100%,-,-
330,Kardesim Benim,"$9,072,024",-,-,"$9,072,024",100%
331,To Steal from a Thief,"$9,041,187",-,-,"$9,041,187",100%
332,Incarnate,"$9,037,058","$4,799,774",53.1%,"$4,237,284",46.9%
333,Like Crazy,"$9,029,150","$107,362",1.2%,"$8,921,788",98.8%
334,Super Express,"$8,980,243",-,-,"$8,980,243",100%
335,The Lobster 2016 Re-release,"$8,952,351","$8,700,374",97.2%,"$251,977",2.8%
336,Morgan,"$8,809,407","$3,915,251",44.4%,"$4,894,156",55.6%
337,Scandal Maker,"$8,772,485",-,-,"$8,772,485",100%
338,Samurai Hustle Returns,"$8,763,957",-,-,"$8,763,957",100%
339,La folle histoire de Max et Léon,"$8,750,678",$543,<0.1%,"$8,750,135",100%
340,Chihayafuru Part II,"$8,674,783",-,-,"$8,674,783",100%
341,Proof of Innocence,"$8,624,967",-,-,"$8,624,967",100%
342,Nanimono,"$8,577,483",-,-,"$8,577,483",100%
343,Dedemin Fisi,"$8,573,963",-,-,"$8,573,963",100%
344,A Street Cat Named Bob,"$8,446,262","$82,703",1%,"$8,363,559",99%
345,Roommates Wanted,"$8,405,304",-,-,"$8,405,304",100%
346,The Big Score,"$8,335,944",-,-,"$8,335,944",100%
347,Tini: The New Life of Violetta 2016 Re-release,"$8,321,696",-,-,"$8,321,696",100%
348,Time Renegades,"$8,312,361","$59,425",0.7%,"$8,252,936",99.3%
349,Up for Love,"$8,273,919",-,-,"$8,273,919",100%
350,The New Year's Eve of Old Lee,"$8,099,301","$25,358",0.3%,"$8,073,943",99.7%
351,Soof 2,"$8,095,275",-,-,"$8,095,275",100%
352,One Man and His Cow,"$8,003,756",-,-,"$8,003,756",100%
353,Denial,"$7,994,527","$4,073,489",51%,"$3,921,038",49%
354,Kamen Rider Ghost: The 100 Eyecons and Ghost's Fateful Moment,"$7,897,263",-,-,"$7,897,263",100%
355,For a Few Bullets,"$7,860,447","$30,142",0.4%,"$7,830,305",99.6%
356,Pele: Birth of a Legend,"$7,846,608","$57,046",0.7%,"$7,789,562",99.3%
357,Dongju: The Portrait of a Poet,"$7,809,531","$56,550",0.7%,"$7,752,981",99.3%
358,Pitbull. Nowe porzadki,"$7,802,960",-,-,"$7,802,960",100%
359,Will You Be There?,"$7,762,907",-,-,"$7,762,907",100%
360,Zhenikh,"$7,580,125",-,-,"$7,580,125",100%
361,"Kiki, Love to Love","$7,551,282","$12,450",0.2%,"$7,538,832",99.8%
362,Insane,"$7,550,254",-,-,"$7,550,254",100%
